ID Nobs Nfilt obs_first theta_E	mb		dt_input 
SN226 13 4 60309.34984128516 1.0056809559362212 23.58633346034567 35.8011229369541
SN228 7 4 60935.23579825296 0.46784703524023824 22.2283716983964 22.020764439005937
SN230 5 3 60682.333461673195 1.4113147159343038 23.327251492295446 82.76484167034133
SN233 9 4 61187.39369324362 0.7753767206287582 21.947610214150075 15.778946917287978
SN236 3 2 60779.25953304653 0.5377937427343218 22.583969556528665 26.187816431252365
SN239 13 4 61135.28755482089 0.37560501253650064 22.732367551256452 4.472055919393544
SN242 6 4 61030.121284387125 0.6460390470721264 23.53976756327484 21.490208800620078
SN243 10 3 60634.33189014706 1.1688830739953586 23.0349919753186 26.027719724502013
SN246 5 3 60714.355205920125 0.367772682750996 22.506453043310295 8.286920290549878
SN250 8 3 60864.328601664674 0.7737822002671848 23.251891120553857 22.25441442166401
SN253 8 3 60394.36413225142 1.2810642403017025 23.67023472061792 64.47991862330184
SN255 2 2 60586.38241384554 0.2376585954382744 22.40903362061462 4.465082618850162
SN270 8 4 61053.35640065697 1.126064776384893 23.369514841653462 38.801871877704016
SN271 17 4 61010.23842676881 1.0566826877669109 22.835458926548334 17.40627718012178
SN272 6 4 61063.18215913776 0.4472745669721418 22.22650637462467 17.307685609061657
SN274 2 2 60647.24146604036 0.24290566537153147 22.7572110795876 4.619795303021957
SN275 5 4 60868.32113874078 0.5446801500369519 23.058355320375902 2.500225893238229
SN276 7 3 60671.04158471035 0.6828107074444305 22.113534457486274 3.317778818975441
SN277 7 4 60634.348092230575 1.2103579396538169 23.00268499848233 33.46590056077324
SN283 8 4 60919.136686040096 0.9578670507585382 21.68174163104039 13.731336977826366
SN284 8 3 60394.36919751613 0.5553750234963283 23.256246636166356 64.76056693965343
SN286 8 3 60396.380634149304 0.19622512109414683 23.516557271431722 27.449653945706395
SN292 6 4 60527.42338222649 0.4302530117201863 23.143224610708163 8.83481391650573
SN295 10 4 61258.4001097082 0.5795375744971393 22.91709675367357 38.41212138783716
SN297 4 2 61255.2954559805 0.5000368679917996 22.10580764178748 4.495456323663807
SN302 5 3 61097.37320875473 0.720308831070779 23.46112517395001 86.51115515118607
SN304 3 2 61168.40182525289 0.3475153506184076 22.805948299444736 10.414504869390244
SN305 5 2 60543.3357700022 0.08296117477762227 23.29709349032835 0.33781550142664835
SN309 6 4 60324.25855508112 0.3893548762537648 22.493554272677393 29.479436976810344
SN310 8 3 60572.35771494032 0.33612585493347086 23.175869970662674 27.17700010631487
SN311 4 3 60999.19983944697 1.3335853713150208 22.149723613347792 30.19085626361784
SN312 20 4 60476.34186370387 1.1179629641080415 23.315807242091417 65.09885462707791
SN313 14 4 60895.35274024047 0.9374257439148056 21.132844519666072 17.96994333903577
SN314 10 5 60626.22566347955 0.2560705266313101 21.772067010527316 10.50942579586355
SN330 5 3 60421.41585194476 0.6892227699280098 23.54353204537524 51.19719700593362
SN334 9 5 60864.33217437265 0.5095647563861809 22.022562978985526 11.286182210709951
SN337 1 1 60812.290585167386 0.7377461063620623 22.59069420135787 7.760666386187043
SN338 18 5 61061.36978099885 1.3374189179498897 21.54351766387682 9.517576849545941
SN339 7 3 60397.275599868015 0.6228450436325728 23.31823984377592 23.958624356387944
SN345 7 4 60524.043228877905 0.6248860285584195 20.607513881196205 33.37905370936763
SN349 7 4 60848.02748211707 0.8180419586257633 22.44030365375268 31.416887168887666
SN350 17 4 60690.36131777197 0.8363473753833106 23.27481404714254 56.03412995066027
SN356 1 1 60956.28422279863 0.13085016292067003 22.480029888758587 3.5998276420494966
SN358 14 4 60325.36656819078 0.9227091030608134 21.569936998096082 15.135015896059471
SN359 8 4 60629.35673928981 0.24751731435813046 22.068017630878057 3.1670492363615113
SN360 5 4 60734.36914945583 0.4588128157644532 21.978328405331155 8.296384923592525
SN362 8 3 60825.24929590045 0.9495761580443499 22.86908114268512 26.279763128360464
SN366 4 4 60714.34918010358 0.4175916657705893 20.797868275726888 5.81655513956664
SN367 7 3 60682.32778641639 1.762933398524534 23.415350516934424 27.281067505101596
SN370 10 4 60321.32461052645 1.1437136015991682 22.367488755876423 61.21570598355827
SN372 8 4 60476.17145419841 0.5611540054174181 22.428243771087736 8.504611899135666
SN373 12 4 61024.31901563465 0.2857957356784093 23.399900388326202 5.468009571684853
SN378 6 3 61196.16698492254 0.47979467013417 22.304380915051286 51.96896355147657
SN384 5 3 61142.223285088956 1.5356180271635247 23.41144248920302 97.88804208868181
SN385 8 5 61056.33457946261 0.06275463303352606 22.733352320773918 0.311658611031665
SN388 0 0 61063.14855303555 1.0718693642685133 21.989084989189678 15.510300073648594
SN389 11 4 60527.424346953005 1.2176449774271079 22.828402095695097 14.11650296988562
SN390 5 3 60574.389320701484 0.3336892344035107 23.39884599618587 24.262600508851225
SN391 16 3 61014.33768528341 0.45212312046421443 23.417505348673973 31.82047451930611
SN394 6 2 60412.42002004764 0.9198092757577078 22.557586744026686 54.1479650466458
SN403 4 3 60788.33844044809 0.9260521299527438 22.14666377313989 33.29816217517044
SN404 5 4 61250.398371084564 1.5965811952719617 21.101598117897282 82.12313589561344
SN407 11 3 60449.371203162074 0.48947320386257215 22.53499969028666 2.1808405746062904
SN413 6 3 60665.34941398782 1.1203148482291012 22.37388329645433 16.103476887856086
SN414 6 4 60325.32964064535 0.3937134057402289 22.98453218505258 15.274031753168435
SN420 12 4 61133.32048141073 0.8349138753522377 22.496813796937506 8.995297504387377
SN421 13 3 60400.409510257094 0.6276780606830819 22.940833974350426 34.982488274630825
SN422 3 2 61017.228192305345 0.5392458311371521 23.135707843814476 32.30120037070428
SN425 7 2 60847.10647115137 0.2811181682257718 22.647638887214207 4.610341908098813
SN428 14 4 61049.30936417778 0.39241091778246856 22.88135025288549 8.259539969765498
SN429 10 4 60358.37497295445 0.9277848543657847 20.495884269217 13.479974165361112
SN434 4 2 60563.260135452045 0.2308746521869227 23.57638762425497 18.792549336826855
SN436 15 4 61009.32513417795 0.9999182493443205 23.55565647407021 34.04716878131505
SN438 39 5 61082.37018427957 2.4113216559012414 21.940815495947632 58.050531176182986
SN442 9 4 60332.34447506327 0.7575918496231342 23.30043539116942 28.745714635944744
SN444 6 4 60592.28416897681 1.0419976693007516 21.47657553546162 20.13179123159647
SN445 7 3 60503.35024497929 1.1851469796377525 23.38040455393744 78.02733806341107
SN446 14 4 60321.360714952876 0.47016497704869864 21.93770530856378 5.3887674489999124
SN449 2 2 60745.26751497285 1.3760389073249477 20.85974589380603 30.690326187659515
SN460 9 4 60335.363553351424 0.9876652923625576 22.257514485455005 2.527137200283282
SN461 7 4 60692.35126503522 0.4302235074205153 22.278007534180304 10.07371938762008
SN462 9 3 60466.4103331626 0.5622201849199665 22.8095236711949 24.144351742330326
SN465 5 4 60232.07032900696 0.29809190524700824 23.186087519868654 7.600627515626243
SN466 16 4 60911.363344349695 0.46662925518936577 23.477794569706063 26.387959885783573
SN469 1 1 60422.421866890225 0.5410614599839586 20.902227610307307 17.702563792450935
SN473 9 3 60264.27014140875 0.8645041747441596 23.033509383445335 3.8756372087662787
SN476 5 3 60634.15355043109 0.42742206069813726 20.15958546814386 6.918116689232807
SN480 6 4 60679.36279609234 0.5892842361200095 23.469733999514833 68.97024846844405
SN481 13 4 60344.287542564525 0.5349482259705255 22.939293990573276 52.847098663041606
SN483 7 3 60953.26978577289 0.4726981036413194 24.073102742242803 29.670296207179238
SN484 4 3 60717.19332278041 0.6265461215281862 22.545249926780215 30.663474974782886
SN485 7 4 60634.31134726836 0.7708014347306094 21.621212423849556 8.742997662065026
SN488 4 3 60366.35268927861 0.4322059008293073 22.331597827148904 12.64738512251251
SN498 2 2 60452.1987501284 0.983048274523705 22.813707068921047 164.2252301569501
SN501 23 5 60924.34247063147 2.391453114848235 19.753263965575727 22.780209656963862
SN504 15 4 60960.14487925077 0.4921923603599469 23.258909469913746 24.162833233182166
SN511 6 2 61119.2626231964 1.2993538774734124 22.255385405279743 11.079534087521637
SN514 8 3 61104.33467788186 0.609555974223763 23.093907595334365 21.124199014743507
SN519 4 4 60380.084030312 0.67396593941804 22.08371581122233 62.02849569735512
SN521 2 2 60590.2375909328 0.5621928844386347 22.741662821541148 60.086760219431504
SN522 2 2 61235.40299111673 0.3241017449736265 22.241490444686498 14.188355156978824
SN528 9 5 61224.39238879416 1.2120932181352906 22.031016906966528 37.62916660401516
SN529 6 4 61224.30373055306 0.3233739994444608 22.36677047047914 12.159215623403986
SN530 17 4 61029.103269072126 0.7155452548163301 21.138476061397064 0.9360261463697219
SN533 7 3 61076.17580317546 0.7936745105923886 22.78781615591733 9.205343288239398
SN536 1 1 60362.39121214962 0.9094776464377315 21.977489096928323 27.909749950672268
SN538 9 4 60531.34926793133 0.5654457664616648 22.824957026860687 19.778613678373304
SN540 9 4 60409.35811529712 0.6122524807781073 22.890368665436178 53.96476324322094
SN542 6 4 60949.18672588434 0.5564774543666176 22.721105278704535 11.819504910430602
SN545 8 3 61100.08517649262 0.3828481752467449 23.154435792119777 36.25957277314532
SN550 9 4 61085.082446668486 0.33059551964668377 22.67198218122868 39.09209424799978
SN553 10 3 60366.27275646673 1.038216886816234 23.18008558949471 83.08907404041142
